Date,Time,Trans,Sample,H2S,TempBelow,ws,Height,Width,Condition,Humidity,TempEnv,wsSAMMO,wdSAMMO,Rain,Obs
11/08/2023,11:41:00,1,1,11.5,32.8,3,20,150,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:45:00,1,2,1.8,32.4,2,20,150,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:47:00,1,3,0.8,31.2,2.5,15,150,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:49:00,1,4,0.6,30.5,2.5,20,150,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:51:00,1,5,0,30,2.4,15,160,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:53:00,1,6,1.1,30.3,2.5,15,130,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:53:00,1,7,1,30.3,3,15,140,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:54:00,1,8,1.6,30.2,2.5,10,140,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:54:00,1,9,1.7,31,2.3,15,140,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:55:00,1,10,0.9,31.7,2,20,130,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:56:00,1,11,1.7,32.3,2.4,5,100,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:58:00,1,12,1.6,35.2,2,10,100,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:59:00,1,13,2.6,33.9,2.5,15,90,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,12:00:00,1,14,21.2,32.5,3,15,90,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,12:01:00,1,15,3.8,33.4,2.8,10,89,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
22/08/2023,11:56:00,2,1,8.1,32.4,6.2,10,130,Decomposing,Wet,30.79,3.24,51,No,None
22/08/2023,00:00:00,2,2,2,32.3,6,15,180,Decomposing,Wet,30.79,3.24,51,No,None
22/08/2023,12:03:00,2,3,8.4,32.3,6,10,150,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:05:00,2,4,2.3,33.5,6,15,130,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:06:00,2,5,0,32.5,6,20,170,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:09:00,2,6,1.8,32,6,25,200,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:11:00,2,7,1.2,32.2,6,15,190,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:12:00,2,8,0,31.3,6,15,220,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:13:00,2,9,0,32,6,5,250,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:14:00,2,10,0,32.3,6,5,250,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:15:00,2,11,0,32.5,6,5,180,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:17:00,2,12,0,32.3,6,5,150,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:21:00,2,13,7.4,34,6,5,210,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:22:00,2,14,9.4,33.5,6,5,240,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:24:00,2,15,2.9,33.5,6,5,240,Decomposing,Wet,30.79,3.24,51,No,None
25/08/2023,12:54:00,3,1,0,31.8,0.1,20,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,12:56:00,3,2,0,30.5,0.2,20,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,12:57:00,3,3,0,30.6,1,20,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,12:59:00,3,4,0,30,0.3,20,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:03:00,3,5,0,30.5,0.6,15,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:05:00,3,6,0,30,0.4,15,250,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:06:00,3,7,0,30.3,0.4,15,250,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:07:00,3,8,0,31.3,0.3,15,250,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:09:00,3,9,0,30.7,0.7,20,200,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:11:00,3,10,0,31.5,0.3,20,200,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:12:00,3,11,0,31.5,0.2,25,200,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:13:00,3,12,0,30.8,0.1,10,200,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:14:00,3,13,0,30.3,0.4,20,150,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:15:00,3,14,0,30.3,0.2,15,150,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:16:00,3,15,0,31,0.4,15,150,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
13/09/2023,12:50:00,4,1,0,33,3.2,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,12:53:00,4,2,0,31.6,3.5,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,12:56:00,4,3,0,32,3.4,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,12:59:00,4,4,0,32,3.5,10,100,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:02:00,4,5,0,32,3.6,10,120,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:05:00,4,6,0,32.4,3.8,15,110,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:08:00,4,7,1.4,32.1,3.7,10,115,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:11:00,4,8,0,31.8,3.5,10,110,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:14:00,4,9,0,32.5,3.8,10,100,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:17:00,4,10,0,32.1,3.2,10,100,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:20:00,4,11,0.8,32,3.6,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:23:00,4,12,0.5,32.2,3.4,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:26:00,4,13,0,32,3.7,5,110,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:29:00,4,14,0,31.8,3.6,5,80,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:32:00,4,15,0,32.2,3.4,5,80,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
14/09/2023,08:44:00,5,1,0,30.4,1.2,10,120,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:45:00,5,2,0,29.8,1.9,5,110,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:46:00,5,3,0,31.1,2.3,5,110,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:47:00,5,4,0,30.2,1.8,5,120,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:48:00,5,5,0,31.5,1.6,10,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:49:00,5,6,0,30.8,1.4,10,140,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:50:00,5,7,0,30.6,2.4,10,120,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:51:00,5,8,0,31.2,1.6,10,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:52:00,5,9,0,29.7,2.5,10,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:53:00,5,10,0,30.3,2,10,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:54:00,5,11,5.6,30.2,2.3,15,110,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:55:00,5,12,0.7,30.6,1.9,15,100,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:56:00,5,13,0,30.4,2.5,10,100,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:57:00,5,14,0,30.8,2.2,10,90,Mixed,Wet,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:03:00,5,15,1.1,30.9,2.4,5,80,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:06:00,6,1,0.6,30,2.6,10,190,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:07:00,6,2,0,29.7,2.5,10,180,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:08:00,6,3,0,29.7,2.6,15,160,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:09:00,6,4,2.6,29.8,2.8,15,160,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:10:00,6,5,0,30,3,20,140,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:11:00,6,6,1.2,30.1,2.4,15,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:12:00,6,7,0.6,29.9,2.4,15,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:13:00,6,8,0,30,2.8,10,110,Mixed,Wet,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:14:00,6,9,0,30.1,2.5,15,100,Mixed,Wet,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:15:00,6,10,3.3,29.8,2.4,15,100,Mixed,Wet,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:16:00,6,11,4.9,29.7,2.1,15,100,Mixed,Wet,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:17:00,6,12,13.1,29.8,2.5,15,100,Mixed,Wet,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:18:00,6,13,7.7,29.7,2.6,15,90,Mixed,Wet,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:19:00,6,14,8.2,30.4,2.5,15,90,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:20:00,6,15,2.2,29.4,2.3,15,90,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,09:20:00,7,1,17.2,29.8,2.3,15,80,Mixed,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:21:00,7,2,8.8,29.6,2.4,10,80,Mixed,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:22:00,7,3,9,29.6,2,20,80,Mixed,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:23:00,7,4,0.8,29.5,2.6,15,80,Mixed,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:24:00,7,5,0,30,2.6,10,80,Mixed,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:25:00,7,6,0,29.9,2.2,15,90,Mixed,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:26:00,7,7,0,29.9,2.7,5,75,Mixed,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:27:00,7,8,0,30,2.4,5,100,Mixed,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:28:00,7,9,0,30.9,2.5,15,90,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:29:00,7,10,0,31,2.5,15,90,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:30:00,7,11,0,30.8,2.3,15,80,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:31:00,7,12,0,31.2,2.3,15,80,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:32:00,7,13,0,30.8,1.9,10,90,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:33:00,7,14,0,30.7,2.4,15,75,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:34:00,7,15,0,31.1,2.2,5,70,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:35:00,8,1,11.4,31.2,2,20,200,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:36:00,8,2,11.7,30.1,2.8,20,170,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:37:00,8,3,47,30.1,2.2,15,200,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:38:00,8,4,1.6,30,2.7,20,220,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:39:00,8,5,4,30.4,2.2,20,190,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:40:00,8,6,1.4,30.6,1.6,20,200,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:41:00,8,7,3.9,30.4,2.1,20,220,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:42:00,8,8,3.7,30.4,1.6,15,200,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:43:00,8,9,3.1,30.5,1.6,20,210,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:44:00,8,10,2.1,30.7,1.8,20,170,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:45:00,8,11,0.7,30.3,1.5,25,210,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:46:00,8,12,7.2,30.4,1.4,25,180,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:47:00,8,13,14.5,30.5,2.5,15,190,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:48:00,8,14,1.8,30.4,2.3,20,150,Decomposing,Humid,30.4,2.1,31.4,No,Mixed with seagrasses
14/09/2023,09:49:00,8,15,1.1,30.5,1.8,20,170,Decomposing,Wet,30.4,2.1,31.4,No,Mixed with seagrasses
04/08/2023,12:10:00,9,1,3.2,33,3.62,30,200,Decomposing,Wet,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,2,6.2,35,3.62,30,200,Decomposing,Wet,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,3,13.5,33.5,3.62,30,200,Decomposing,Wet,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,4,29.6,34.5,3.62,30,200,Decomposing,Humid,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,5,34.1,34.1,3.62,30,190,Decomposing,Humid,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,6,56.9,34,3.62,30,150,Decomposing,Humid,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,7,73.8,36.4,3.62,30,130,Decomposing,Humid,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,8,3.1,34.3,3.62,30,120,Decomposing,Humid,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,9,0.9,34.2,3.62,30,100,Decomposing,Humid,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,10,6.4,34,3.62,30,100,Decomposing,Humid,30.39,3.62,116.3,No,ws  from SAMMO
04/08/2023,12:10:00,9,11,0.6,33.7,3.62,30,100,Decomposing,Humid,30.39,3.62,116.3,No,ws  from SAMMO
03/08/2023,13:00:00,9,12,2.3,33.5,2.99,20,230,Decomposing,Wet,30.89,2.99,66.1,No,ws  from SAMMO
03/08/2023,13:00:00,9,13,16.8,34,2.99,20,220,Decomposing,Wet,30.89,2.99,66.1,No,ws  from SAMMO
03/08/2023,13:00:00,9,14,0.6,34.2,2.99,20,180,Decomposing,Humid,30.89,2.99,66.1,No,ws  from SAMMO
03/08/2023,13:00:00,9,15,94.2,35,2.99,20,180,Decomposing,Humid,30.89,2.99,66.1,No,ws  from SAMMO
